Patron ID,First Name,Last Name,Date Entered,Primary Email,Company,Salutation,Title,Tags,Gender
8309,,,"Jul 20, 2021",,Stephenson Ltd,,Nurse Practitioner,"Board Member, Camp 2016, Camp 2016, Board Member",Unknown
9859,james,BURNS,"Jun 24, 2015",michael43@hall-lee.com,,Dr,Administrative Assistant,"Top Donor, Pitch Perfect Volunteer",Unknown
5301,Maureen,Weber,"Aug 09, 2021",corey36@gmail.com,,,Business Analyst,"Pitch Perfect Staff, Top Donor, Summer School 2016, Pitch Perfect Staff, VIP",Unknown
5767,Chase,Pena,"Nov 20, 2020",richard99@hampton.com,,Mr. and Mrs.,Graphic Designer,"Pitch Perfect Volunteer, Tag Test, Major Donor 2021",Married
4926,Joshua,Rush,"Mar 20, 2018",,,Rev,,,Unknown
1089,Erica,Simmons,"Apr 16, 2016",samantha08@hotmail.com,...,Mrs,Business Analyst,"Top Donor, Student Scholar, Summer School 2016",Single
4051,Julia,Spencer,"Jan 28, 2024",william10@hotmail.com,,Mr,Accountant,"Major Donor 2021, Top Donor, Major Donor 2021",Married
3514,Kevin,Howard,"Nov 07, 2015",christopher25@rodriguez.com,,Mrs,,"Summer School 2016, Major Donor 2021, Major Donor 2021, Pitch Perfect Staff",Unknown
3953,Kelly,Jimenez,02/16/2018,greg46@hotmail.com,,,,"Pitch Perfect Volunteer, Student Scholar, Top Donor",Single
6366,julie,mcgrath,"Sep 13, 2020",bjones@hotmail.com,,Mrs,Sales Executive,"Camp 2016, Camp 2016, Student Scholar, Top Donor",Unknown
4566,,,"Dec 09, 2018",cynthiarogers@moore.info,"Banks, Watkins and Gomez",,Chief Technology Officer,"Major Donor 2021, Top Donor, Board Member",Single
5418,nicholas,johnson,"Dec 21, 2015",wustephanie@hotmail.com,,Dr,,"Major Donor 2021, Board Member, Summer School 2016, Summer School 2016",Married
3677,,,"Apr 14, 2015",april70@hernandez.biz,duncan group,,,"Pitch Perfect Volunteer, Student Scholar, Pitch Perfect Staff, Summer School 2016, Summer School 2016",Single
6822,Nicole,Benson,"Oct 30, 2022",,,Mr. and Mrs.,UX Designer,"Board Member, Student Scholar, Top Donor",Single
7564,connie,lyons,"Sep 23, 2017",yolson@gmaill.com,Dodson-Austin,Mrs,,,Married
4036,Grant,Brennan,"Nov 27, 2018",,"Guerrero, Diaz and Odom",Mr,IT Consultant,"Student Scholar, Camp 2016, Summer School 2016, Pitch Perfect Volunteer, Top Donor",Single
9655,maria,KELLEY,06/30/2018,christopher66@gmail.com,,Ms,,"Major Donor 2021, Pitch Perfect Volunteer",Unknown
1459,Katherine,Jones,"Aug 06, 2022",millersherry@gmaill.com,,Rev,Software Engineer,"Camp 2016, Major Donor 2021, Pitch Perfect Staff, Top Donor, Camp 2016",Single
8265,Patricia,Curtis,"Sep 24, 2019",lkelly@butler-bradford.biz,,Dr,Project Manager,"Top Donor, Pitch Perfect Staff, Major Donor 2021, Camp 2016",Married
2014,Amanda,Kelley,"Nov 10, 2016",walkerlindsey@lewis.com,,Mr,,"Pitch Perfect Volunteer, Student Scholar, Camp 2016, Board Member, VIP",Unknown
4862,Cynthia,Mckinney,"Oct 27, 2021",dwood@martinez.com,,,HR Coordinator,"Pitch Perfect Staff, Camp 2016, Major Donor 2021",Married
8161,Joshua,Gutierrez,"Sep 19, 2021",dwilliams@hotmail.com,None,Mr,Project Manager,"Pitch Perfect Staff, Summer School 2016, Summer School 2016, Top Donor, Board Member",Unknown
4107,Robert,Powers,"Feb 26, 2023",cooleyaustin@solis.com,,Dr,Administrative Assistant,,Married
1102,Michael,Munoz,06/17/2019,warrendaniel@gmail.com,,Mr. and Mrs.,,"Camp 2016, Camp 2016, Board Member, Major Donor 2021, Camp 2016",Unknown
3203,Joshua,Gonzales,"Nov 10, 2022",katiecarr@daniels-olsen.com,,Rev,Business Analyst,"Pitch Perfect Staff, Board Member, Board Member, Camp 2016, Top Donor",Single
6522,Brian,Schmidt,"Oct 01, 2019",andrea62@gmail.com,,,,"Student Scholar, Student Scholar",Unknown
4526,Kaylee,Wagner,,reeveslinda@underwood.com,,Dr,,"Student Scholar, Major Donor 2021, Pitch Perfect Staff, Camp 2016",Unknown
3973,Kyle,Parsons,"Sep 01, 2021",kaylaprice@york-vance.com,,Dr,,"Pitch Perfect Volunteer, Student Scholar, Camp 2016, Summer School 2016, Pitch Perfect Volunteer",Married
9734,yvonne,russell,"Feb 25, 2021",victoria10@gmal.com,,,,"Pitch Perfect Volunteer, Board Member, Summer School 2016",Unknown
9153,Erica,House,"Feb 03, 2015",deantravis@russo-nelson.org,,Mrs,,"Board Member, Major Donor 2022, Board Member, Student Scholar",Married
7103,,,"Jul 30, 2023",michellelane@cox.com,"Cross, Hutchinson and Vega",,Accountant,"Board Member, Pitch Perfect Volunteer, Summer School 2016, Student Scholar, VIP",Single
3561,,,"Dec 14, 2020",,,,,,
7963,John,Stanton,"Apr 24, 2015",daniel74@bryan.com,,Mrs,,"Board Member, Pitch Perfect Staff",Unknown
6801,Troy,Perez,"Oct 03, 2016",thomaswelch@adams-castillo.com,,Mr. and Mrs.,Marketing Manager,"Camp 2016, Camp 2016, Pitch Perfect Staff, Summer School 2016, Pitch Perfect Staff",Unknown
2085,David,Smith,"Oct 13, 2015",smalljessica@hotmail.com,,,,"Pitch Perfect Volunteer, Camp 2016, Summer School 2016",Married
3927,,,"Jan 04, 2018",charles63@ramos.com,Allen-Stephens,,Administrative Assistant,"Camp 2016, Major Donor 2021, Top Donor, Major Donor 2021",Married
4651,Julie,Davis,"Mar 12, 2015",,,Mrs,Sales Executive,"Camp 2016, Tag Test, Camp 2016, Pitch Perfect Staff",Single
4039,Hannah,Clark,"Nov 14, 2022",emilylopez@yahoo.com,,Rev,Operations Manager,"Top Donor, Camp 2016, Pitch Perfect Volunteer",Unknown
2481,James,Trujillo,"Jun 23, 2024",carrie32@forbes.com,,,Administrative Assistant,"Pitch Perfect Staff, VIP",Single
5321,,,"Dec 24, 2015",flowersdavid@hotmail.com,"Cook, Walls and Ryan",,,,Unknown
4615,Laura,Jackson,"Jul 22, 2022",,,,,,Single
9139,nicole,CHASE,"Sep 28, 2022",victoria52@galvan.com,,Ms,,"Major Donor 2021, Student Scholar, Major Donor 2021, Summer School 2016, Summer School 2016",Married
1854,Ricky,David,"Aug 03, 2020",mayertammy@collins-vasquez.org,,Dr,,"Summer School 2016, Pitch Perfect Volunteer, Camp 2016, Summer School 2016, Student Scholar",Single
2173,THOMAS,MEYERS,,lance98@hotmail.com,,Mr,Administrative Assistant,"Top Donor, Pitch Perfect Staff, Top Donor",Unknown
2936,Natalie,Smith,"Nov 10, 2016",lawrence72@olson.com,,Dr,,"Top Donor, Pitch Perfect Volunteer",Unknown
3140,Claudia,Chambers,"Sep 11, 2023",bday@odom-archer.com,,,,Pitch Perfect Volunteer,Single
5967,Benjamin,Park,"Dec 30, 2023",lisa94@wong.biz,Paul-Kim,,Chief Technology Officer,,Married
3446,Wanda and James,Bryant,"Jul 16, 2015",,,Mr. and Mrs.,,Top Donor,Unknown
9965,Shane,Meza,"Sep 05, 2015",kelly82@solomon.info,,,Nurse Practitioner,"Student Scholar, Student Scholar",Married
2136,Regina,Webb,12/19/2020,brittney12@lee-williamson.org,,Dr,Marketing Manager,,Married
2581,Lori,Cummings,"Nov 20, 2018",alyssagarcia@gmail.com,,,Chief Technology Officer,,Unknown
2737,Matthew,Nicholson,"May 28, 2015",,,Dr,,"Summer School 2016, Major Donor 2021, Camp 2016",Unknown
2433,Dylan and Anna,Adams,,shelby30@olsen-oliver.com,,Mr. and Mrs.,Software Engineer,"Pitch Perfect Staff, Major Donor 2021, Pitch Perfect Staff, Student Scholar, Board Member",Unknown
7358,Amanda,James,"May 11, 2016",,,Rev,Graphic Designer,"Summer School 2016, Camp 2016, Pitch Perfect Staff",Unknown
6197,Angela,Spencer,"Nov 27, 2024",antoniomalone@gmail.com,,Mr,,"Top Donor, Tag Test, Camp 2016, Pitch Perfect Staff, Student Scholar",Married
2596,Shelia,Yates,"Aug 31, 2015",,,Mrs,Administrative Assistant,"Student Scholar, Major Donor 2022",Unknown
9821,,,"Aug 22, 2020",klinejose@gmail.com,Gutierrez Group,,,"Top Donor, Pitch Perfect Staff, Camp 2016",Unknown
2686,Jason,Kramer,"Jun 13, 2023",oarmstrong@gmail.com,,Dr,,"Major Donor 2021, Board Member, Camp 2016",Unknown
4646,Jon,Hunter,"Jan 30, 2019",edward64@hotmail.com,,Mr,Nurse Practitioner,"Pitch Perfect Volunteer, Student Scholar, Camp 2016, Summer School 2016",Single
4944,Christopher,Schneider,"Apr 14, 2023",gdickerson@gmal.com,,,Marketing Manager,"Board Member, Camp 2016",Married
2382,Mark,Peters,"May 21, 2018",,N/A,Mrs,IT Consultant,"Major Donor 2021, Pitch Perfect Volunteer, Pitch Perfect Staff, Board Member",Single
6816,Jennifer,Hancock,,kharris@yahoo.com,,Mr,UX Designer,"Pitch Perfect Staff, Summer School 2016, Top Donor, Pitch Perfect Staff",Single
6586,Margaret,Moore,"Aug 01, 2016",rubenwelch@yahoo.com,,Mr. and Mrs.,,,Unknown
7022,Melissa,Harrison,"Aug 30, 2019",ujackson@reed-perez.com,,,Accountant,"Major Donor 2021, Major Donor 2021",Single
6605,James,Trujillo,"Jun 28, 2023",wesleyjones@gibson.com,,Mrs,,"Summer School 2016, Camp 2016, Summer School 2016, Top Donor, Pitch Perfect Staff",Unknown
4668,Cole,White,"Feb 28, 2024",ereese@hotmail.com,,Dr,Project Manager,"Pitch Perfect Volunteer, Tag Test, Top Donor, Pitch Perfect Staff",Married
1288,Brandon,Mccarty,"Dec 03, 2020",ellendavis@smith.com,,Ms,,,Single
8361,Sarah,Franco,,umalone@yahoo.com,,Mrs.,Accountant,Summer School 2016,Unknown
7369,Dawn,Lindsey,"Mar 28, 2024",jacob66@yahoo.com,,Ms,Administrative Assistant,"Board Member, Pitch Perfect Volunteer, Top Donor, Major Donor 2021",Unknown
1825,april,barber,"Nov 07, 2016",javierperez@davis.com,"Villanueva, Bowen and Smith",Mr,,Student Scholar,Single
1348,Robert & Emily,Patton,"Dec 12, 2016",thomassamuel@gmaill.com,,Mr. and Mrs.,,,Single
1550,Laura,Harrison,12/07/2017 12:34,harrypatterson@yahoo.com,,Mr. and Mrs.,,"Major Donor 2021, Student Scholar, Board Member",Unknown
3506,Jason,Moore,"Mar 27, 2015",traciemcpherson@palmer.com,Used to work here.,Mr. and Mrs.,,,Unknown
3141,jennifer,JUAREZ,"Jan 30, 2022",xhubbard@garcia.biz,,,,Student Scholar,Married
7497,Jennifer,Luna,02/09/2019 9:30,robertmunoz@hotmail.com,,Dr,,"Summer School 2016, Camp 2016",Unknown
